时间,省份,确诊,疑似,治愈,死亡
2020/1/18,云南,0,0,0,0
2020/1/18,湖南,0,0,0,0
2020/1/18,湖北,198,0,25,3
2020/1/18,黑龙江,0,0,0,0
2020/1/18,贵州,0,0,0,0
2020/1/18,山东,0,0,0,0
2020/1/18,江西,0,0,0,0
2020/1/18,河南,0,0,0,0
2020/1/18,河北,0,0,0,0
2020/1/18,山西,0,0,0,0
2020/1/18,安徽,0,0,0,0
2020/1/18,福建,0,0,0,0
2020/1/18,浙江,0,0,0,0
2020/1/18,江苏,0,0,0,0
2020/1/18,吉林,0,0,0,0
2020/1/18,辽宁,0,0,0,0
2020/1/18,台湾,0,0,0,0
2020/1/18,新疆,0,0,0,0
2020/1/18,广西,0,0,0,0
2020/1/18,宁夏,0,0,0,0
2020/1/18,内蒙古,0,0,0,0
2020/1/18,西藏,0,0,0,0
2020/1/18,北京,0,0,0,0
2020/1/18,天津,0,0,0,0
2020/1/18,上海,0,0,0,0
2020/1/18,重庆,0,0,0,0
2020/1/18,香港,0,0,0,0
2020/1/18,澳门,0,0,0,0

2020/1/19,全国,198,0,25,3
2020/1/19,广东,0,0,0,0
2020/1/19,青海,0,0,0,0
2020/1/19,四川,0,0,0,0
2020/1/19,海南,0,0,0,0
2020/1/19,陕西,0,0,0,0
2020/1/19,甘肃,0,0,0,0
2020/1/19,云南,0,0,0,0
2020/1/19,湖南,0,0,0,0
2020/1/19,湖北,198,0,25,3
2020/1/19,黑龙江,0,0,0,0
2020/1/19,贵州,0,0,0,0
2020/1/19,山东,0,0,0,0
2020/1/19,江西,0,0,0,0
2020/1/19,河南,0,0,0,0
2020/1/19,河北,0,0,0,0
2020/1/19,山西,0,0,0,0
2020/1/19,安徽,0,0,0,0
2020/1/19,福建,0,0,0,0
2020/1/19,浙江,0,0,0,0
2020/1/19,江苏,0,0,0,0
2020/1/19,吉林,0,0,0,0
2020/1/19,辽宁,0,0,0,0
2020/1/19,台湾,0,0,0,0
2020/1/19,新疆,0,0,0,0
2020/1/19,广西,0,0,0,0
2020/1/19,宁夏,0,0,0,0
2020/1/19,内蒙古,0,0,0,0
2020/1/19,西藏,0,0,0,0
2020/1/19,北京,0,0,0,0
2020/1/19,天津,0,0,0,0
2020/1/19,上海,0,0,0,0
2020/1/19,重庆,0,0,0,0
2020/1/19,香港,0,0,0,0
2020/1/19,澳门,0,0,0,0

2020/1/20,全国,291,54,25,3
2020/1/20,广东,14,0,0,0
2020/1/20,青海,0,0,0,0
2020/1/20,四川,0,0,0,0
2020/1/20,海南,0,0,0,0
2020/1/20,陕西,0,0,0,0
2020/1/20,甘肃,0,0,0,0
2020/1/20,云南,0,0,0,0
2020/1/20,湖南,0,0,0,0
2020/1/20,湖北,270,0,25,3
2020/1/20,黑龙江,0,0,0,0
2020/1/20,贵州,0,0,0,0
2020/1/20,山东,0,0,0,0
2020/1/20,江西,0,0,0,0
2020/1/20,河南,0,0,0,0
2020/1/20,河北,0,0,0,0
2020/1/20,山西,0,0,0,0
2020/1/20,安徽,0,0,0,0
2020/1/20,福建,0,0,0,0
2020/1/20,浙江,0,0,0,0
2020/1/20,江苏,0,0,0,0
2020/1/20,吉林,0,0,0,0
2020/1/20,辽宁,0,0,0,0
2020/1/20,台湾,0,0,0,0
2020/1/20,新疆,0,0,0,0
2020/1/20,广西,0,0,0,0
2020/1/20,宁夏,0,0,0,0
2020/1/20,内蒙古,0,0,0,0
2020/1/20,西藏,0,0,0,0
2020/1/20,北京,5,0,0,0
2020/1/20,天津,0,0,0,0
2020/1/20,上海,2,0,0,0
2020/1/20,重庆,0,0,0,0
